"session_goal_id","goal_tracker_id","activity","present","datetime","clicks","created_by","updated_by","created_at","updated_at"
bee728a0-b13d-4ddc-94c9-4796b49d1ef2,"9b9eaa6d-c3e9-4c2d-b913-b8e704bda478",,false,,,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-20 05:43:26.624,2023-06-20 05:43:26.624
bee728a0-b13d-4ddc-94c9-4796b49d1ef2,"041b115f-f131-4303-bba2-9d75f73fae02",,false,,,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-20 05:43:26.624,2023-06-20 05:43:26.624
f6e8ff8e-d5cf-4054-ad54-cd4ce1a5e513,bb00c678-d1cc-4f95-ba58-92cfb6332936,,false,,,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-21 04:41:49.336,2023-06-21 04:41:49.336
f6e8ff8e-d5cf-4054-ad54-cd4ce1a5e513,"9b9eaa6d-c3e9-4c2d-b913-b8e704bda478",,false,,,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-21 04:41:49.336,2023-06-21 04:41:49.336
f6e8ff8e-d5cf-4054-ad54-cd4ce1a5e513,"041b115f-f131-4303-bba2-9d75f73fae02",,false,,,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-21 04:41:49.336,2023-06-21 04:41:49.336
"965f7ad8-2496-41b5-8e0c-d85453f96311",b79ba958-9629-45c7-8af9-6211fb00c090,,false,,,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-21 13:43:56.220,2023-06-21 13:43:56.220
"965f7ad8-2496-41b5-8e0c-d85453f96311","62db8a22-07f3-470c-8294-880f694d154c",,false,,,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-21 13:43:56.220,2023-06-21 13:43:56.220
"965f7ad8-2496-41b5-8e0c-d85453f96311","0d8b009e-0064-4af2-9c67-2ecdf17e2662",,false,,,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-21 13:43:56.220,2023-06-21 13:43:56.220
f5d568cc-09c3-47d4-ac15-96b48e15cc30,"7cf73a5a-33ee-4240-8455-d8a044da6641",,false,,,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-21 13:58:59.398,2023-06-21 13:58:59.398
f5d568cc-09c3-47d4-ac15-96b48e15cc30,bba0c28f-251f-449e-9615-08e0e6ddb35f,,false,,,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-21 13:58:59.398,2023-06-21 13:58:59.398
f5d568cc-09c3-47d4-ac15-96b48e15cc30,"8e865837-6da0-434b-baa9-3a18339c360a",,false,,,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-21 13:58:59.398,2023-06-21 13:58:59.398
"6ba11b63-536c-413c-b65e-9806f18c9795",ba48bb46-1fa0-4ab3-b4a1-45f8f0d86c67,,false,,,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-21 14:49:37.635,2023-06-21 14:49:37.635
"6ba11b63-536c-413c-b65e-9806f18c9795","31841ee8-8d88-4a89-bb26-b25a7a32f155",,false,,,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-21 14:49:37.635,2023-06-21 14:49:37.635
"6ba11b63-536c-413c-b65e-9806f18c9795","95bcf16e-144a-4206-8586-dce972b674d5",,false,,,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-21 14:49:37.635,2023-06-21 14:49:37.635
"9ee899d3-0dcf-45c0-a8ff-99e1611c7af9",d6602797-5d8b-463d-a479-0acd83ac16d1,,false,,,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-21 14:49:37.635,2023-06-21 14:49:37.635
"9ee899d3-0dcf-45c0-a8ff-99e1611c7af9",badb3cc7-4ab7-4338-bb08-b7af181a95f7,,false,,,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-21 14:49:37.635,2023-06-21 14:49:37.635
"9ee899d3-0dcf-45c0-a8ff-99e1611c7af9","1253c371-edf4-4d37-ad17-c15f5fcac75e",,false,,,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-21 14:49:37.635,2023-06-21 14:49:37.635
d5f47ba4-da7d-44a7-8a68-dfa8e99b8ac5,ef8f13a8-4756-48a3-b10c-c9135d3fc137,,false,,,"7c7a4aa0-1a8d-4025-a03b-162d83c26cca","7c7a4aa0-1a8d-4025-a03b-162d83c26cca",2023-06-21 15:53:35.942,2023-06-21 15:53:35.942
d5f47ba4-da7d-44a7-8a68-dfa8e99b8ac5,ba1b2ae8-6ff4-489a-b036-acf4fd43564f,,false,,1,"7c7a4aa0-1a8d-4025-a03b-162d83c26cca","7c7a4aa0-1a8d-4025-a03b-162d83c26cca",2023-06-21 15:53:35.942,2023-06-21 15:53:35.942
d5f47ba4-da7d-44a7-8a68-dfa8e99b8ac5,"8975ca66-f950-4009-9f71-be764d3b54a5",,false,,5,"7c7a4aa0-1a8d-4025-a03b-162d83c26cca","7c7a4aa0-1a8d-4025-a03b-162d83c26cca",2023-06-21 15:53:35.942,2023-06-21 15:53:35.942
"7c503fd9-6984-4da8-b4b0-1c37e4ed691c","94aee967-6763-4504-9b75-f696dbf4b804",,false,,,"1d14e719-5735-4480-9696-4fa417c1d9ee","1d14e719-5735-4480-9696-4fa417c1d9ee",2023-08-04 02:49:15.907,2023-08-04 02:49:15.907
"7c503fd9-6984-4da8-b4b0-1c37e4ed691c",c96120a7-8148-4eb0-b71c-a3b74cedc80a,,false,,,"1d14e719-5735-4480-9696-4fa417c1d9ee","1d14e719-5735-4480-9696-4fa417c1d9ee",2023-08-04 02:49:15.907,2023-08-04 02:49:15.907
"4db5efe1-588f-4a95-a07e-d8b556acd647","9f6f9824-234c-43e5-9f1d-9f5b7961702d",,false,,5,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-22 05:31:41.632,2023-06-22 05:31:41.632
"4db5efe1-588f-4a95-a07e-d8b556acd647","204f7424-7d18-4380-b39b-29e9d065e994",,false,,10,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-22 05:31:41.632,2023-06-22 05:31:41.632
"4db5efe1-588f-4a95-a07e-d8b556acd647","7638e44e-2848-467e-9bd9-a202b3f8004f",,false,,6,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-22 05:31:41.632,2023-06-22 05:31:41.632
"4db5efe1-588f-4a95-a07e-d8b556acd647","713b205b-05b6-4c60-9d3d-10a2533926b0",,false,,7,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-22 05:31:41.632,2023-06-22 05:31:41.632
a5b83d47-97d1-4775-aa76-b37bf239e7a6,"3f32f7ab-d90d-4b8a-afb3-96fe14a7e84f",,false,,6,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-22 05:31:41.632,2023-06-22 05:31:41.632
