"session_client_id","client_id","customer_id","division_id","session_id","plan_id","present","notes","client_absence_reason_id","notes_plan","data_session","created_by","updated_by","created_at","updated_at","client_attendance","show_goals","session_notes_plan"
edcfee81-fcb6-475b-b762-c8a5b2552ec6,"02b9ac76-a022-4bd8-a0b8-5374b4b442fe","13d85b9f-f1ee-45d2-a556-f2ad5ad712de",,"2349ca48-3b92-49b0-be26-eb70fd445558","500be73c-92ba-4660-b0d1-a3e0b65785d7",true,"",,notes,true,"1482fb1b-8dff-4194-b4de-18c0ba6b4283","1482fb1b-8dff-4194-b4de-18c0ba6b4283",2023-06-15 04:46:24.697,2023-06-15 04:46:24.697,false,false,false
c372e01f-c02f-4b13-bad6-2f8930121bee,"06de79e9-29df-44c9-860f-53ab4e638235",b6d50805-d164-45e5-b63c-88b37a569c52,,ccb034c8-44e7-438e-82ff-474671855393,dd2dda6e-cfd4-4030-9a91-a1a888c01b48,true,"""[{\""Type\"":\""Text\"",\""Title\"":\""Quick Plan Note Title\"",\""fieldName\"":\""quick_plan_notes\"",\""Required\"":\""Y\"",\""HelpText\"":null}]""",,,false,"6dce2a84-3a67-4636-ac25-92b37b407ceb","6dce2a84-3a67-4636-ac25-92b37b407ceb",2023-06-19 04:48:44.117,2023-06-19 04:48:44.117,false,false,false
"0e5f6f6a-132d-4540-88c2-9ca9ad3e1300",fb841292-6222-44c7-a802-fc5ac3e6c5b3,b90b0bca-1ffc-4954-b30e-23453ee8a65e,,afeb648c-99e3-4e1a-8e3c-44677479630d,d48b6210-cf50-4584-8441-9aa70657ad83,true,"",,,true,"547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-06-15 05:45:41.011,2023-06-15 05:45:41.011,false,false,false
"41a32dcb-c932-4bc0-a6bd-df02b07be2d6","1f71f42e-2306-456a-9972-36dc31a1e375",b90b0bca-1ffc-4954-b30e-23453ee8a65e,,afeb648c-99e3-4e1a-8e3c-44677479630d,"04d31a17-c9e0-4d26-abd2-57abba3340a8",true,"[{ ""Type"": ""Text"", ""Title"": ""Quick Plan Note Title"", ""fieldName"": ""quick_plan_notes"", ""Required"": ""Y"", ""HelpText"": ""Quick Plan Notes""}]",,,false,"547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-06-15 05:46:03.693,2023-06-15 05:46:03.693,false,false,false
cde5f0a5-5e51-458b-b824-2fb93d9cc6a9,"06de79e9-29df-44c9-860f-53ab4e638235",b6d50805-d164-45e5-b63c-88b37a569c52,,"88d1d4f5-e549-4f84-b033-c273e0be96be",dd2dda6e-cfd4-4030-9a91-a1a888c01b48,true,"[{ ""Type"": ""Text"", ""Title"": ""Quick Plan Note Title"", ""fieldName"": ""quick_plan_notes"", ""Required"": ""Y"", ""HelpText"": ""Quick Plan Notes""}]",,,false,"6dce2a84-3a67-4636-ac25-92b37b407ceb","6dce2a84-3a67-4636-ac25-92b37b407ceb",2023-06-15 06:01:28.977,2023-06-15 06:01:28.977,false,false,false
"018eda4b-1f35-4cc3-b4ab-e7fbce80fd84",fb841292-6222-44c7-a802-fc5ac3e6c5b3,b90b0bca-1ffc-4954-b30e-23453ee8a65e,,"130cb793-2553-44e5-8a78-8dea09cccad3",a12378a3-2f6f-4156-a914-79cf5a285a9c,true,"",,notes,true,"547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-06-13 05:30:56.086,2023-06-13 05:30:56.086,false,false,false
"93c7378e-0f04-47f1-a622-eb7c035e8777",c36a5174-fdd7-492a-b2c8-e942b0fc5b8d,"13d85b9f-f1ee-45d2-a556-f2ad5ad712de",,"323184b6-cc1b-4dd2-8c2c-f3d4964cd8fd","881eee4c-1167-4d7e-aa76-46112f15348a",true,"[{ ""Type"": ""Text"", ""Title"": ""Quick Plan Note Title"", ""fieldName"": ""quick_plan_notes"", ""Required"": ""Y"", ""HelpText"": ""Quick Plan Notes""}]",,,false,"6dce2a84-3a67-4636-ac25-92b37b407ceb","6dce2a84-3a67-4636-ac25-92b37b407ceb",2023-06-15 06:08:30.768,2023-06-15 06:08:30.768,false,false,false
"816d7fd8-da37-43e6-968e-3c6423e16a8e","98a073e0-054d-47a8-bff6-bcbbcc27634c",b6d50805-d164-45e5-b63c-88b37a569c52,,e4331916-5f97-4ddf-9d32-f5f5dfc827f7,"787c8fb5-7ebb-4ae3-82aa-a3f1649f6202",true,"",,,true,"6dce2a84-3a67-4636-ac25-92b37b407ceb","6dce2a84-3a67-4636-ac25-92b37b407ceb",2023-06-15 12:27:20.517,2023-06-15 12:27:20.517,false,false,false
a22ac620-d4ef-4cf2-a0d3-e95efe5eab7b,fb841292-6222-44c7-a802-fc5ac3e6c5b3,b90b0bca-1ffc-4954-b30e-23453ee8a65e,,"014f4f6b-6c8b-4db6-b79e-63791c6108ec",d48b6210-cf50-4584-8441-9aa70657ad83,true,"",,tyh,true,"547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-06-13 05:11:53.637,2023-06-13 05:11:53.637,false,false,false
"0c743072-5c34-4062-b278-c40339c551b9",fb841292-6222-44c7-a802-fc5ac3e6c5b3,b90b0bca-1ffc-4954-b30e-23453ee8a65e,,"13459079-2220-43a9-b254-28152ff904de",d48b6210-cf50-4584-8441-9aa70657ad83,true,"",,fj,true,"99434d8a-54db-4c11-946d-0c73fc92edab","99434d8a-54db-4c11-946d-0c73fc92edab",2023-06-13 05:07:03.782,2023-06-13 05:07:03.782,false,false,false
