"session_id","service_id","created_by","updated_by","created_at","updated_at"
"0c7e309f-ee8d-4f07-bdc5-d21decfc03a2","1d09ffb0-8952-4b26-8e21-5c7f05f4f36e","93be822c-adae-4b68-9661-615842276d6b","93be822c-adae-4b68-9661-615842276d6b",2023-07-24 05:49:42.699,2023-07-24 05:49:42.699
"0562897b-1346-4989-a576-d23927a4071d",b6d0de94-1ee0-44e3-a5de-028cccea511a,"64a009c8-5f70-4c73-9183-9cd48b57eb90","64a009c8-5f70-4c73-9183-9cd48b57eb90",2023-07-24 06:11:48.387,2023-07-24 06:11:48.387
"5aa1a2d6-0564-4f35-9336-288bcd5255fe",b6d0de94-1ee0-44e3-a5de-028cccea511a,"64a009c8-5f70-4c73-9183-9cd48b57eb90","64a009c8-5f70-4c73-9183-9cd48b57eb90",2023-07-24 06:14:39.891,2023-07-24 06:14:39.891
"0edbb44f-33ae-4cd1-a9b9-c3bba286dcbc",b6d0de94-1ee0-44e3-a5de-028cccea511a,"6dce2a84-3a67-4636-ac25-92b37b407ceb","6dce2a84-3a67-4636-ac25-92b37b407ceb",2023-07-24 06:19:20.541,2023-07-24 06:19:20.541
"6a14bfb6-7120-430d-9c02-8e7d59f77be7",b6d0de94-1ee0-44e3-a5de-028cccea511a,"0995e79e-0ce3-4a4e-acf6-6de4534eff9b","0995e79e-0ce3-4a4e-acf6-6de4534eff9b",2023-07-24 06:21:21.217,2023-07-24 06:21:21.217
cbe241d7-afa7-4a80-be07-7a05a1dd25a8,b6d0de94-1ee0-44e3-a5de-028cccea511a,"0995e79e-0ce3-4a4e-acf6-6de4534eff9b","0995e79e-0ce3-4a4e-acf6-6de4534eff9b",2023-07-24 06:22:32.941,2023-07-24 06:22:32.941
e67751a7-9746-43c9-a2df-6a254c5f906d,e37391db-7cfb-405c-b9b2-0670e600ffb8,"93be822c-adae-4b68-9661-615842276d6b","93be822c-adae-4b68-9661-615842276d6b",2023-07-24 06:54:40.410,2023-07-24 06:54:40.410
"270cb929-0b63-4669-b11c-8f5065833db1","257cf64c-70d4-403b-967f-5ca815e71738",f4fd818c-9e3d-44a2-9cbe-4ea6e40b553e,f4fd818c-9e3d-44a2-9cbe-4ea6e40b553e,2023-07-24 07:09:33.853,2023-07-24 07:09:33.853
"7e3498a2-84aa-48e3-bdff-a638fc21362a","257cf64c-70d4-403b-967f-5ca815e71738",f4fd818c-9e3d-44a2-9cbe-4ea6e40b553e,f4fd818c-9e3d-44a2-9cbe-4ea6e40b553e,2023-07-24 07:26:10.400,2023-07-24 07:26:10.400
b00dc0ca-7479-4448-aa53-787c0ecc06a9,"8054c5cc-c1e6-4a0b-a5bc-0fcbc3a49d7f","547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-07-24 08:01:41.024,2023-07-24 08:01:41.024
"05473a50-7653-40a0-9601-3c1035abc69b","8bda31cf-71f6-4da7-b76d-73f03f5edd86","547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-08-04 03:25:50.308,2023-08-04 03:25:50.308
"5b008a81-9641-449f-b104-52e906869b68","8054c5cc-c1e6-4a0b-a5bc-0fcbc3a49d7f",f4fd818c-9e3d-44a2-9cbe-4ea6e40b553e,f4fd818c-9e3d-44a2-9cbe-4ea6e40b553e,2023-07-24 09:33:46.656,2023-07-24 09:33:46.656
"9fa912d7-425c-4dd8-a693-d8ac154c01e7",ae978d86-f758-4eb2-88f6-6b5094de1a67,f4fd818c-9e3d-44a2-9cbe-4ea6e40b553e,f4fd818c-9e3d-44a2-9cbe-4ea6e40b553e,2023-07-24 10:07:09.887,2023-07-24 10:07:09.887
b65d49cc-2d61-4dc8-a91e-81156e395b3b,ae978d86-f758-4eb2-88f6-6b5094de1a67,"547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-07-24 10:16:58.816,2023-07-24 10:16:58.816
"8b0e876a-6a85-4c4e-9308-f95d7b09af4a","35a552de-dde8-4917-97bb-4f8d9b4280c1","547ede38-dc24-453a-8438-aad1b55a9bbc","547ede38-dc24-453a-8438-aad1b55a9bbc",2023-07-24 10:24:51.608,2023-07-24 10:24:51.608
